 #  Elapsed Time    Sqr Displ.      Sqr Displ.  KMC step
 #  ************    ***Total***       Atom Ni   ********
  0.78600975E-09    972.1410815    972.1410815       192
  0.78633052E-09    965.6732489    965.6732489       193
  0.78939192E-09    959.7284798    959.7284798       194
  0.79337535E-09    965.7137439    965.7137439       195
  0.79649803E-09    972.1795894    972.1795894       196
  0.80408195E-09    978.1659112    978.1659112       197
  0.81085932E-09    984.5064683    984.5064683       198
  0.81110921E-09    990.5423942    990.5423942       199
  0.81535437E-09    984.5064665    984.5064665       200
  0.82975908E-09    990.5269743    990.5269743       201
  0.83592524E-09    996.7458455    996.7458455       202
  0.83804534E-09   1003.0429895   1003.0429895       203
  0.84137635E-09   1009.1499493   1009.1499493       204
  0.84328081E-09   1015.3842860   1015.3842860       205
  0.84569355E-09   1021.7013068   1021.7013068       206
  0.86741325E-09   1027.9382779   1027.9382779       207
  0.86775840E-09   1034.1740728   1034.1740728       208
  0.86962170E-09   1040.4183345   1040.4183345       209
  0.87442433E-09   1046.4342408   1046.4342408       210
  0.88024689E-09   1046.4095760   1046.4095760       211
  0.88748769E-09   1052.7328314   1052.7328314       212
  0.89416321E-09   1058.9145619   1058.9145619       213
  0.90569282E-09   1065.1985193   1065.1985193       214
  0.90819105E-09   1065.1836025   1065.1836025       215
  0.91335801E-09   1065.1985583   1065.1985583       216
  0.91726276E-09   1071.4090831   1071.4090831       217
  0.91922780E-09   1077.3974059   1077.3974059       218
  0.91974002E-09   1083.7760082   1083.7760082       219
  0.92090336E-09   1089.8941261   1089.8941261       220
  0.92289143E-09   1083.7759202   1083.7759202       221
  0.92859602E-09   1083.6955016   1083.6955016       222
  0.92915099E-09   1089.8853017   1089.8853017       223
  0.93456122E-09   1096.0600522   1096.0600522       224
  0.93999552E-09   1102.2589152   1102.2589152       225
  0.93999565E-09   1108.4178168   1108.4178168       226
  0.94151653E-09   1102.2588711   1102.2588711       227
  0.94431567E-09   1108.5147504   1108.5147504       228
  0.95179431E-09   1114.6080582   1114.6080582       229
  0.95179696E-09   1108.5147483   1108.5147483       230
  0.95838325E-09   1114.6959019   1114.6959019       231
  0.96602231E-09   1120.8643216   1120.8643216       232
  0.96659202E-09   1127.1551749   1127.1551749       233
  0.97103983E-09   1133.0615785   1133.0615785       234
  0.97523861E-09   1139.4835253   1139.4835253       235
  0.98158832E-09   1145.6425757   1145.6425757       236
  0.98884108E-09   1151.9626454   1151.9626454       237
  0.99851153E-09   1145.6425331   1145.6425331       238
  0.10045661E-08   1152.0982531   1152.0982531       239
  0.10144747E-08   1158.5240206   1158.5240206       240
  0.10192126E-08   1170.4747395   1170.4747395       241
  0.10239742E-08   1176.5312850   1176.5312850       242
  0.10244438E-08   1182.5978898   1182.5978898       243
  0.10270170E-08   1188.9487527   1188.9487527       244
  0.10270797E-08   1194.8743089   1194.8743089       245
  0.10305700E-08   1201.4598941   1201.4598941       246
  0.10311817E-08   1207.5588413   1207.5588413       247
  0.10474532E-08   1207.4535557   1207.4535557       248
  0.10477625E-08   1195.6694314   1195.6694314       249
  0.10582295E-08   1213.9101060   1213.9101060       250
  0.10627680E-08   1219.9786517   1219.9786517       251
